BSM,BS in Mathematics
BSBAMM,BSBA Marketing Management
BSCA,BS Computer Application
BSP,BS in Physics
BSCE,BS Civil Engineering
BSN,BS in Nursing
BSEDB,BSED Biology
BEEDE,BEED English
BSEDM,BSED Mathematics
BSBB,BS Biology(Botany)
BSC,BS Chemistry
BSCS,BS in Computer Science
BSS,BS in Statistics
BETM,BET Metallurgical
BSBAE,BSBA in Economics
BSBZ,BS in Biology(Zoology)
BSEDGS,BSED in General Science
BSPsych,BS in Psychology
BAH,BA in History
BAPS,BA in Political Science
BSF,BS in Filipino
BSCompE,BS in Computer Science
BSME,BS in Mechanical Engineering
BSChemE,BS in Chemical Engineering
BSRT,BS in Radiology Technology
BAE,BA in English
